from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts;route_type
1;963;261;28.035714285714285;28;131:28;3
2;3048;297;37.78350515463917;97;49:19,119:24,85:28,97:26;3
4;2886;273;26.363636363636363;44;16:17,64:3,119:24;3
6;691;257;66.1842105263158;38;5:7,121:11,56:6,73:3,122:8,15:3;3
6;2055;320;40.0;71;102:71;3
9;1021;816;45.0;27;104:12,69:12,103:3;3
12;352;383;79.41176470588235;289;1:1,37:46,108:1,13:8,46:4,88:1,86:44,55:53,24:7,101:1,29:51,63:72;3
12;2903;274;106.484375;64;35:64;3
13;917;196;31.519607843137255;102;128:20,43:3,117:29,38:33,7:17;3
15;2674;260;241.40625;64;67:4,68:55,93:5;3
17;1975;377;60.0;14;98:2,27:12;3
18;1199;248;27.4;50;55:50;3
19;1789;416;45.0;35;43:3,131:28,134:4;3
21;1983;213;40.19607843137255;51;64:3,25:45,115:3;3
22;1426;130;44.689655172413794;145;131:28,133:5,134:8,55:53,44:2,61:49;3
23;226;160;31.904761904761905;147;90:8,131:14,140:121,133:1,94:3;3
24;1883;327;43.710601719197705;349;128:20,68:27,69:12,38:33,103:3,104:12,7:17,61:50,117:28,23:11,89:49,28:39,29:48;3
25;397;231;33.75;144;131:28,133:5,134:8,55:51,44:1,61:51;3
27;485;614;81.66666666666667;42;131:28,44:1,133:5,134:8;3
28;2235;304;70.24509803921569;102;102:102;3
29;2726;462;30.0;13;97:13;3
30;508;217;34.63768115942029;69;104:12,28:40,69:13,103:4;3
31;1219;590;58.093525179856115;139;5:2,121:1,137:5,10:4,140:124,15:3;3
32;1446;499;120.0;10;23:10;3
33;1063;483;75.69444444444444;36;49:15,97:21;3
36;95;223;34.78260869565217;23;80:1,11:6,4:16;3
37;1661;410;53.271186440677965;59;120:3,113:2,83:7,19:1,37:46;3
42;510;195;23.333333333333332;21;54:21;3
43;1359;422;210.17857142857142;56;30:5,63:51;3
44;377;211;29.805825242718445;103;128:23,43:3,117:28,38:36,7:13;3
45;1302;195;160.44117647058823;136;98:6,132:27,85:57,119:46;3
47;2765;297;60.0;37;74:16,14:21;3
47;2590;274;49.45544554455446;101;112:50,109:51;3
48;1800;4927;250.83333333333334;18;41:5,137:13;3
48;2951;2067;118.33333333333333;30;56:6,73:3,121:11,5:7,15:3;3
49;1573;229;80.44444444444444;45;25:45;3
49;1423;356;95.0;44;86:44;3
52;2337;653;75.0;3;21:2,77:1;3
52;3001;273;60.0;7;129:7;3
54;573;1001;53.75;16;4:16;3
58;307;311;50.0;8;90:8;3
58;2293;180;49.157303370786515;178;16:18,129:7,54:21,55:51,8:19,25:45,125:17;3
60;1993;363;30.58659217877095;179;3:14,5:4,102:71,41:4,106:1,110:18,123:1,78:24,137:10,56:6,121:4,122:8,59:5,92:9;3
60;2371;291;42.295918367346935;196;35:61,121:7,5:3,41:1,137:3,140:121;3
63;640;414;83.38983050847457;177;91:53,140:124;3
63;3044;405;510.0;4;16:1,54:3;3
63;21;363;155.0;3;115:3;3
64;605;316;35.0;40;16:3,64:3,115:3,85:28,125:3;3
66;1280;230;34.6875;144;131:28,133:5,134:8,55:51,44:1,61:51;3
68;394;361;27.878048780487806;41;1:3,101:2,24:7,88:1,107:15,108:1,13:7,46:5;3
69;299;257;31.38888888888889;36;49:16,97:20;3
70;1628;229;35.0;45;35:33,27:12;3
71;2367;113;10.0;20;14:20;3
72;1810;132;30.0;19;50:19;3
73;1099;197;34.068627450980394;102;102:102;3
74;2095;263;56.857142857142854;7;83:7;3
75;315;369;38.72549019607843;102;102:102;3
76;1873;283;29.166666666666668;24;74:16,134:8;3
77;2592;273;41.285714285714285;140;35:1,10:4,27:11,140:124;3
79;1858;363;33.13186813186813;91;112:53,17:14,2:1,133:5,74:16,44:2;3
79;2822;270;39.11764705882353;51;109:51;3
82;66;248;39.784946236559136;93;131:28,44:1,133:5,134:8,55:51;3
82;2541;524;90.0;2;96:2;3
83;1223;511;43.39080459770115;87;122:5,92:9,102:73;3
84;1428;579;35.0;16;4:16;3
85;1659;602;82.67441860465117;43;131:28,44:2,133:5,134:8;3
86;958;333;45.87557603686636;217;112:51,133:3,2:3,91:53,36:1,131:28,134:4,43:3,44:1,50:19,109:51;3
86;1158;282;35.0;7;11:7;3
87;2058;989;135.0;3;15:3;3
87;1307;701;60.79545454545455;132;121:1,140:124,5:2,137:5;3
88;3004;997;60.0;4;85:4;3
88;454;917;89.86111111111111;72;64:3,49:19,85:24,97:26;3
90;2266;213;171.52173913043478;46;35:34,27:12;3
91;3074;299;30.972762645914397;257;1:3,37:42,107:15,108:1,13:7,46:5,88:1,19:1,55:51,24:7,120:6,101:2,29:45,63:71;3
92;2568;334;27.23076923076923;65;96:2,17:14,61:49;3
93;2861;385;35.0;16;4:16;3
95;2609;266;60.0;6;11:6;3
95;1723;233;24.0625;16;4:16;3
95;1309;76;80.0;1;80:1;3
96;1239;135;44.81481481481482;27;68:27;3
98;2832;325;28.972602739726028;73;49:19,85:28,97:26;3
98;1452;251;146.13636363636363;22;8:20,115:2;3
100;1589;232;50.68627450980392;102;89:52,67:4,29:46;3
101;802;463;165.0;8;90:8;3
101;2109;451;80.68627450980392;102;102:102;3
103;2779;378;478.52941176470586;34;112:18,2:1,131:6,133:3,10:4,44:2;3
104;2408;142;15.0;129;98:4,51:8,5:9,102:73,121:8,137:10,41:3,122:5,92:9;3
111;2186;408;117.05882352941177;51;64:3,25:45,115:3;3
111;1007;194;30.0;7;129:7;3
112;1369;343;90.9090909090909;11;23:11;3
112;2339;425;102.26804123711341;97;89:49,29:48;3
112;2534;439;93.51851851851852;27;68:27;3
114;2656;311;75.87301587301587;126;16:16,133:5,54:17,55:50,8:18,44:1,125:19;3
114;2790;250;83.62068965517241;58;129:6,90:8,86:44;3
115;673;445;129.0;1;80:1;3
116;714;187;40.666666666666664;15;17:14,91:1;3
117;243;491;26.833333333333332;6;80:1,83:5;3
118;2680;217;70.0;60;90:8,85:28,119:24;3
121;988;376;45.61643835616438;73;35:61,27:12;3
122;116;222;15.0;15;17:14,91:1;3
124;1374;320;28.636363636363637;22;137:13,41:5,123:1,73:3;3
125;2127;634;70.0;1;111:1;3
128;288;1063;129.0;1;80:1;3
128;641;976;92.5;16;4:16;3
129;820;626;71.34615384615384;52;136:1,89:47,116:3,6:1;3
130;1031;357;49.285714285714285;14;17:14;3
131;2084;693;64.33333333333333;135;89:49,68:27,29:48,23:11;3
132;1026;148;15.0;16;4:16;3
137;1108;531;53.6;50;55:50;3
138;1802;187;28.58173076923077;208;131:14,140:122,63:72;3
139;2104;508;55.05154639175258;97;89:49,29:48;3
140;305;480;35.0;20;14:20;3
142;1117;171;47.5;24;74:16,134:8;3
144;3020;529;30.0;16;4:16;3
144;2070;466;66.11111111111111;36;128:23,7:13;3
146;2059;416;35.0;34;17:14,131:14,44:1,133:5;3
146;1087;219;25.0;3;94:3;3
148;550;149;28.94160583941606;137;98:6,132:28,85:57,119:46;3
149;1109;472;60.0;8;90:8;3
150;724;381;38.05084745762712;59;90:8,63:51;3
152;1517;380;43.301886792452834;53;136:1,89:48,116:3,6:1;3
153;193;122;56.857142857142854;7;83:7;3
153;1012;637;58.46153846153846;52;120:3,113:2,19:1,37:46;3
155;289;289;40.0;18;50:18;3
159;2061;404;27.796296296296298;54;1:1,4:16,101:1,24:7,88:1,107:15,108:1,13:8,46:4;3
160;2881;283;23.571428571428573;21;14:21;3
162;2436;302;79.83333333333333;30;106:1,59:5,78:24;3
164;1287;240;35.0;36;49:15,97:21;3
166;215;279;58.58974358974359;78;112:1,17:14,2:3,36:1,133:5,91:53,44:1;3
167;365;333;31.17808219178082;73;80:1,17:14,83:7,29:51;3
168;615;243;41.142857142857146;70;64:3,17:14,61:51,96:2;3
168;1191;476;90.0;19;50:19;3
